Name,Url,"Creation Date","Last Update","Last Version",Omeka.org,"Omeka Constraint",Author,"Author Link",License,Description,Tags,Link,"Support Link","Ini Path"
"OAI-PMH Harvester",https://github.com/ddean4040/Omeka-S-module-OaiPmhHarvester,2018-02-08T16:50:56Z,2018-02-08T16:57:32Z,0.1,,^1.0.0,"David Dean - based on code from Roy Rosenzweig Center for History & New Media and Daniel Berthereau",,"GNU/GPL v3","Harvest content from an OAI-PMH repository.","harvest, bulk import, oai, aggregator",,,
"OAI-PMH Repository",https://github.com/biblibre/omeka-s-module-OaiPmhRepository,2016-12-15T16:20:39Z,2018-07-30T06:08:18Z,0.2.2,,,BibLibre,https://github.com/biblibre,,"Exposes Omeka items as an OAI-PMH repository.",,https://github.com/biblibre/omeka-s-module-OaiPmhRepository,,
"OAI Pmh Harvester",https://github.com/Numerizen/OaiPmhHarvester,2017-12-26T15:39:36Z,2018-07-21T07:00:19Z,0.1,,^1.0.0,"Vincent Buard for PSL",http://omeka.numerizen.com,,"Harvest OaiPmh repositories.",,,,
"Omeka 2 Importer",https://github.com/omeka-s-modules/Omeka2Importer,2015-07-14T16:42:23Z,2018-04-23T21:11:42Z,1.1.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Import content from an Omeka 2 site via its API.",,,https://forum.omeka.org/c/omeka-s/modules,
"Omeka Starter Kit",https://github.com/stephenwf/omeka-module-starter-kit,2017-03-31T12:27:08Z,2017-09-27T17:19:26Z,1.0,,^1.0.0,"Stephen Fraser",https://github.com/stephenwf,,"Developer friendly example of Omeka module",,https://github.com/stephenwf/omeka-module-starter-kit,,
"Omeka Twig",https://github.com/digihum/omeka-s-twig,2017-01-06T10:13:46Z,2017-01-06T10:14:17Z,0.2.0,,^1.0.0-beta,"Tim Hollies",http://warwick.ac.uk/digitalhumanities,,"Use twig templates in Omeka-S themes",,,,
"ORCID Connector",https://github.com/omeka-s-modules/OrcidConnector,2018-05-02T20:28:12Z,2018-07-27T20:48:21Z,1.0.0,,^1.1.0,"Roy Rosenzweig Center for History and New Media",,,"Connect users and their content to ORCID data",,,,
"PDF Embed",https://github.com/zerocrates/PdfEmbedS,2017-07-20T00:05:02Z,2017-12-08T02:47:26Z,1.0.0,,^1.0.0,"John Flatness",https://github.com/zerocrates,,"Embed PDF files within Omeka S pages",,https://github.com/zerocrates/PdfEmbedS,https://github.com/zerocrates/PdfEmbedS/issues,
PdfText,https://github.com/Numerizen/PdfText,2017-12-26T15:38:06Z,2018-07-21T06:46:31Z,1.0,,,"Vincent BUARD",http://omeka.numerizen.com,,"Extract data from PDF files for indexation",,http://github.com/pdftext,,
PdfToc,https://github.com/bubdxm/Omeka-S-module-PdfToc,2018-05-29T12:16:21Z,2018-06-11T08:10:30Z,1.0,,,"bubdxm, bases PDF TOC plugin omeka",https://github.com/symac,,"Extracts table of contents from PDF files",,http://github.com/bubdxm/Omeka-S-module-PdfToc,,
Psl,https://github.com/biblibre/omeka-s-module-Psl,2016-12-20T13:07:23Z,2018-06-04T09:07:25Z,0.1.0,,,BibLibre,https://github.com/biblibre,,"Various things specific to PSL",,https://github.com/biblibre/omeka-s-module-Psl,,
PslSearchForm,https://github.com/biblibre/omeka-s-module-PslSearchForm,2016-06-15T14:33:57Z,2018-05-05T08:13:39Z,0.2.0,,,BibLibre,,,"PSL search form",,https://github.com/biblibre/omeka-s-module-PslSearchForm,,
Reference,https://github.com/Daniel-KM/Omeka-S-module-Reference,2018-02-21T18:31:39Z,2018-07-09T04:43:46Z,3.4.10,,^1.1.0,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Adds glossary pages and blocks with the alphabetical indexes of specified classes and properties.","glossary, tree view, indexing, lexicon",https://github.com/Daniel-KM/Omeka-S-module-Reference,https://github.com/Daniel-KM/Omeka-S-module-Reference/issues,
RestrictedSites,https://github.com/ManOnDaMoon/omeka-s-module-RestrictedSites,2018-03-28T14:52:49Z,2018-03-28T17:08:23Z,0.4,,,"Laurent Thomas",manondamoon.com,,"Restricts access of public sites to the user list defined in site settings. Displays a login landing page for anonymous users.",,manondamoon.com,,
"Rights Statements",https://github.com/zerocrates/RightsStatements,2016-04-15T03:26:29Z,2017-12-08T02:16:58Z,0.3.0,,^1.0.0,"John Flatness",https://github.com/zerocrates,,,,https://github.com/zerocrates/RightsStatements,https://github.com/zerocrates/RightsStatements/issues,
Scripto,https://github.com/omeka-s-modules/Scripto,2017-11-17T20:22:19Z,2018-07-26T15:35:09Z,0.1.0-alpha,,^1.2.0-alpha.2,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Transcribe and translate items.",,,https://forum.omeka.org/c/omeka-s/modules,
Search,https://github.com/biblibre/omeka-s-module-Search,2016-04-29T12:07:18Z,2018-06-19T07:52:57Z,0.4.0,,>=1.0.0,BibLibre,https://github.com/biblibre,,"Add search capabilities to Omeka S",,https://github.com/biblibre/omeka-s-module-Search,,
Search,https://github.com/Daniel-KM/omeka-s-module-Search,2016-04-29T12:07:18Z,2018-06-04T09:08:16Z,0.5.5,,^1.1.0,"BibLibre, improved by Daniel Berthereau",https://github.com/biblibre,,"Add search capabilities to Omeka S",,https://github.com/biblibre/omeka-s-module-Search,,
Sharing,https://github.com/omeka-s-modules/Sharing,2015-12-15T16:44:26Z,2017-12-14T20:29:33Z,1.0.0,,^1.0.0,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Share and embed content on the web",,,https://forum.omeka.org/c/omeka-s/modules,
"Simple Block",https://github.com/zerocrates/SimpleBlock,2018-06-21T17:26:54Z,2018-06-21T21:17:34Z,0.1.0,,^1.1.0,"John Flatness",https://github.com/zerocrates,,,,https://github.com/zerocrates/SimpleBlock,https://github.com/zerocrates/SimpleBlock/issues,
