Name,Url,"Creation Date","Last Update","Last Version",Omeka.org,"Omeka Constraint",Author,"Author Link",License,Description,Tags,Link,"Support Link","Ini Path"
"Omeka Twig",https://github.com/digihum/omeka-s-twig,2017-01-06T10:13:46Z,2017-03-06T16:42:12Z,0.2.0,,^1.0.0-beta,"Tim Hollies",http://warwick.ac.uk/digitalhumanities,,"Use twig templates in Omeka-S themes",,,,
Psl,https://github.com/biblibre/omeka-s-module-Psl,2016-12-20T13:07:23Z,2016-12-20T13:07:46Z,0.1.0,,,BibLibre,https://github.com/biblibre,,"Various things specific to PSL",,https://github.com/biblibre/omeka-s-module-Psl,,
PslSearchForm,https://github.com/biblibre/omeka-s-module-PslSearchForm,2016-06-15T14:33:57Z,2016-06-29T14:37:37Z,0.1,,,BibLibre,,,"PSL search form",,https://github.com/biblibre/omeka-s-module-PslSearchForm,,
"Rights Statements",https://github.com/zerocrates/RightsStatements,2016-04-15T03:26:29Z,2016-04-15T03:27:05Z,0.1.1,,>=0.6.2-alpha,"John Flatness",https://github.com/zerocrates,,,,,,
Search,https://github.com/biblibre/omeka-s-module-Search,2016-04-29T12:07:18Z,2016-11-29T15:48:15Z,0.2.0,,>=1.0.0-beta3,BibLibre,https://github.com/biblibre,,"Add search capabilities to Omeka S",,https://github.com/biblibre/omeka-s-module-Search,,
Sharing,https://github.com/omeka-s-modules/Sharing,2015-12-15T16:44:26Z,2016-02-03T15:51:08Z,1.0.0-beta2,,^1.0.0-beta2,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Share and embed content on the web",,,https://forum.omeka.org/c/omeka-s/modules,
Solr,https://github.com/biblibre/omeka-s-module-Solr,2016-04-29T12:11:55Z,2017-06-15T12:29:06Z,0.2.0,,>=1.0.0-beta3,BibLibre,https://github.com/biblibre,,"Add Solr search adapter",,https://github.com/biblibre/omeka-s-module-Solr,,
Timeline,https://github.com/Daniel-KM/Omeka-S-module-Timeline,2017-04-19T05:47:33Z,2017-06-12T04:48:41Z,3.4.3,,^1.0.0-beta4,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Integrate the Simile Timeline and the Knightlab Timeline to create advanced timelines from the dates of items.","timeline, chronology",https://github.com/Daniel-KM/Omeka-S-module-Timeline,https://github.com/Daniel-KM/Omeka-S-module-Timeline/issues,
unAPI,https://github.com/omeka-s-modules/UnApi,2015-02-24T23:19:35Z,2016-11-14T12:12:40Z,1.0.0-alpha,,^1.0.0-beta,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Make your item metadata discoverable using unAPI.",,,https://forum.omeka.org/c/omeka-s/modules,
"Universal Viewer",https://github.com/Daniel-KM/Omeka-S-module-UniversalViewer,2017-02-23T20:39:20Z,2017-06-12T04:49:42Z,3.5.2,,^1.0.0-beta4,"Daniel Berthereau, Omeka S port by BibLibre",https://github.com/Daniel-KM,"CeCILL v2.1","Integrates the Universal Viewer in order to create carousels of virtual books from image files and to display any media file (pdf, audio, video, 3D...) in a unified player.","viewer, book, digital library",https://github.com/Daniel-KM/Omeka-S-module-UniversalViewer,https://github.com/Daniel-KM/Omeka-S-module-UniversalViewer/issues,
"Upgrade from Omeka Classic",https://github.com/Daniel-KM/Omeka-S-module-UpgradeFromOmekaClassic,2017-02-14T15:56:31Z,2017-04-19T07:13:55Z,3.0.5,,^1.0.0-beta4,"Daniel Berthereau",https://github.com/Daniel-KM,"CeCILL v2.1","Add a compatibility layer to use Omeka Classic themes that were upgraded via the plugin Upgrade to Omeka Semantic.","omeka theme, compatibility layer",https://github.com/Daniel-KM/UpgradeFromOmekaClassic,https://github.com/Daniel-KM/UpgradeFromOmekaClassic/issues,
"Value Suggest",https://github.com/omeka-s-modules/ValueSuggest,2016-08-01T19:01:05Z,2016-11-04T11:16:28Z,1.0.0-beta2,,^1.0.0-beta,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Describe your resources using auto-suggested values from controlled vocabulary services.",,,https://forum.omeka.org/c/omeka-s/modules,
"Zotero Import",https://github.com/omeka-s-modules/ZoteroImport,2015-02-05T21:58:10Z,2016-12-30T18:01:50Z,1.0.0-beta2,,^1.0.0-beta3,"Roy Rosenzweig Center for History & New Media",http://rrchnm.org/,,"Import items and files from Zotero user and group libraries.",,,https://forum.omeka.org/c/omeka-s/modules,
